intervals,technique,fold,horizon,cosine,rmse,er_pred,er_actual
75,nav,3,10,0.04512217494398929,5.752016811478143,4.856415409021096,4.190335878175664
75,nav,4,10,0.04262357299164754,5.205520664604458,5.288824536178556,4.397161664618012
75,nav,5,10,0.040293292150416216,4.8233869561123806,5.591377483662916,4.8092273012354765
75,nav,6,10,0.020291073765831724,3.396065182472155,5.774348901084284,4.721859584796138
75,nav,7,10,0.06429834699649462,6.481969185653893,5.639393114229929,4.3093610230777575
75,nav,8,10,0.02645122483648321,3.9659715658427657,5.983191852275914,4.528345036766333
75,nav,9,10,0.03415092384381824,4.502588102773796,6.394739675523841,4.670928556716118
75,nav,0,11,0.04525520378747627,5.631097189318931,4.66499544051612,4.047962009604492
75,nav,1,11,0.023059334148614052,4.190369896611081,4.7109892948109495,4.108971004641175
75,nav,2,11,0.026647252266937427,3.8503954272240217,5.568412835606484,4.727099647399969
75,nav,3,11,0.022931856213821877,3.9636349341548787,4.994622633630601,4.4039336870562895
75,nav,4,11,0.04552177982139005,5.779219476432244,4.860742888101502,4.190335878175664
75,nav,5,11,0.044418218538676,5.300675475241543,5.3004536786774565,4.397161664618012
75,nav,6,11,0.043330187169261625,4.990121669774715,5.848243570276655,4.8092273012354765
75,nav,7,11,0.021466288510710307,3.490356885826042,5.775636311659248,4.721859584796138
75,nav,8,11,0.06640254850517813,6.576128409072295,5.652784281183616,4.3093610230777575
75,nav,9,11,0.028245652725981563,4.084257423550935,6.238777230321346,4.528345036766333
75,nav,0,12,0.015431167141587987,3.2271125724950407,4.749387088827851,4.111118552934551
75,nav,1,12,0.04528569866123511,5.632370634412732,4.684866262220675,4.047962009604492
75,nav,2,12,0.023958245591964022,4.261527236852077,4.718949382213053,4.108971004641175
75,nav,3,12,0.027209627605997544,3.890492745931622,5.580355898133571,4.727099647399969
75,nav,4,12,0.023216253545087162,3.991111014336041,5.003654408821811,4.4039336870562895
75,nav,5,12,0.04463798777061179,5.738778637211369,4.86395924859765,4.190335878175664
75,nav,6,12,0.047484853584987885,5.461277936838375,5.722171250083024,4.397161664618012
75,nav,7,12,0.044857184441482234,5.074423578394454,5.853014002847948,4.8092273012354765
75,nav,8,12,0.021604308104545278,3.5052061485186576,5.782872395024136,4.721859584796138
